Random ID,Term,Course Abbrevation,Course Number,course,level
302722,Spring 2022,MATH,2200,MATH 2200,2000
302722,Fall 2021,ENGL,1109,ENGL 1109,1000
302722,Fall 2021,CSUB,1029,CSUB 1029,1000
302722,Fall 2021,MATH,1010,MATH 1010,1000
302722,Fall 2021,MATH,1010,MATH 1010,1000
302722,Fall 2021,COMM,1008,COMM 1008,1000
302722,Fall 2021,BA,1008,BA 1008,1000
303054,Spring 2022,HIST,1418,HIST 1418,1000
303054,Spring 2022,PHIL,1019,PHIL 1019,1000
303054,Spring 2022,ACCT,2200,ACCT 2200,2000
303054,Spring 2022,ECON,2200,ECON 2200,2000
303054,Spring 2022,ECON,2200,ECON 2200,2000
303054,Fall 2021,MIS,2000,MIS 2000,2000
303054,Spring 2022,ECON,2028,ECON 2028,2000
303054,Fall 2021,CSUB,1029,CSUB 1029,1000
303054,Fall 2021,COMM,1008,COMM 1008,1000
303054,Fall 2021,MATH,2200,MATH 2200,2000
303054,Fall 2021,BA,1008,BA 1008,1000
303054,Fall 2021,ECON,2018,ECON 2018,2000
304852,Spring 2022,CHEM,1000,CHEM 1000,1000
304852,Spring 2022,PHIL,2019,PHIL 2019,2000
304852,Spring 2022,PSYC,1018,PSYC 1018,1000
304852,Fall 2021,KINE,1020,KINE 1020,1000
304852,Spring 2022,COMM,1008,COMM 1008,1000
304852,Spring 2022,KINE,1537,KINE 1537,1000
304852,Spring 2022,HIST,1228,HIST 1228,1000
304852,Fall 2021,ENGL,1109,ENGL 1109,1000
304852,Fall 2021,CSUB,1029,CSUB 1029,1000
304852,Fall 2021,KINE,1018,KINE 1018,1000
304852,Fall 2021,KINE,2018,KINE 2018,2000
304852,Fall 2021,MUS,1019,MUS 1019,1000
304852,Fall 2021,KINE,1512,KINE 1512,1000
304856,Spring 2022,PHIL,2019,PHIL 2019,2000
304856,Spring 2022,CHEM,1000,CHEM 1000,1000
304856,Spring 2022,HIST,1228,HIST 1228,1000
304856,Spring 2022,KINE,1503,KINE 1503,1000
304856,Spring 2022,PSYC,1018,PSYC 1018,1000
304856,Spring 2022,THTR,1008,THTR 1008,1000
304856,Fall 2021,THTR,1009,THTR 1009,1000
304856,Fall 2021,CSUB,1029,CSUB 1029,1000
304856,Fall 2021,ENGL,1109,ENGL 1109,1000
304856,Fall 2021,KINE,1535,KINE 1535,1000
304856,Fall 2021,KINE,2018,KINE 2018,2000
304856,Fall 2021,KINE,1018,KINE 1018,1000
304919,Spring 2022,GEOL,1009,GEOL 1009,1000
304919,Spring 2022,PSYC,2030,PSYC 2030,2000
304919,Spring 2022,SOC,1018,SOC 1018,1000
304919,Spring 2022,PSYC,2020,PSYC 2020,2000
304919,Spring 2022,GEOL,1009,GEOL 1009,1000
304919,Spring 2022,PSYC,2018,PSYC 2018,2000
