Random ID,Term,Course Abbrevation,Course Number,course,level
321637,Fall 2022,CSUB,1029,CSUB 1029,1000
321637,Fall 2022,ENGL,950,ENGL 950,0
321637,Fall 2022,ENGL,1100,ENGL 1100,1000
321637,Fall 2022,MATH,2205,MATH 2205,2000
324780,Fall 2022,CHEM,1000,CHEM 1000,1000
324780,Fall 2022,ENGL,3119,ENGL 3119,3000
324780,Fall 2022,HIST,1218,HIST 1218,1000
324780,Fall 2022,MATH,1055,MATH 1055,1000
324780,Fall 2022,PHIL,1019,PHIL 1019,1000
325099,Fall 2022,BA,1008,BA 1008,1000
325099,Fall 2022,CHEM,1019,CHEM 1019,1000
325099,Fall 2022,CHEM,1019,CHEM 1019,1000
325099,Fall 2022,COMM,1008,COMM 1008,1000
325099,Fall 2022,PSYC,1018,PSYC 1018,1000
327060,Fall 2022,ACCT,2210,ACCT 2210,2000
327060,Fall 2022,BA,1008,BA 1008,1000
327060,Fall 2022,CSUB,1029,CSUB 1029,1000
327060,Fall 2022,ECON,2028,ECON 2028,2000
327060,Fall 2022,MIS,2000,MIS 2000,2000
327060,Fall 2022,PHIL,1019,PHIL 1019,1000
331761,Spring 2023,HIST,1228,HIST 1228,1000
331761,Spring 2023,SOC,3000,SOC 3000,3000
331761,Spring 2023,SOC,3510,SOC 3510,3000
331761,Spring 2023,THTR,1008,THTR 1008,1000
333931,Fall 2022,CMPS,2010,CMPS 2010,2000
333931,Fall 2022,CMPS,2010,CMPS 2010,2000
333931,Fall 2022,CSUB,1029,CSUB 1029,1000
333931,Fall 2022,ENGL,1109,ENGL 1109,1000
333931,Fall 2022,GST,1210,GST 1210,1000
333931,Fall 2022,MATH,2520,MATH 2520,2000
333931,Fall 2022,THTR,1009,THTR 1009,1000
334779,Fall 2022,BA,1008,BA 1008,1000
334779,Fall 2022,COMM,1008,COMM 1008,1000
334779,Fall 2022,CSUB,1029,CSUB 1029,1000
334779,Fall 2022,ENGL,1109,ENGL 1109,1000
334779,Fall 2022,MATH,2200,MATH 2200,2000
